schema,table,table_type,n_rows,n_cols,file,bytes,sha256
mesh_dev,stg_jaffle_shop__supplies,view,65,6,mesh_dev__stg_jaffle_shop__supplies.parquet,5169,3c5173996e6f725d8e275849ee744cfda3dc75fa253b22cdaa5ec0ba1f406d23
mesh_dev,stg_locations,view,5,4,mesh_dev__stg_locations.parquet,1921,2290df87d2e302aee6886156d5fadfe2ffdd9a5a636ff2e2fd9d094d6e671bff
mesh_dev,stg_orders,view,899,6,mesh_dev__stg_orders.parquet,45142,05c40440a57d1c6d3ced20a3762bf4058ba9c144501d6e8989c1870b7c9eb3a4
mesh_dev,stg_order_items,view,899,3,mesh_dev__stg_order_items.parquet,54657,7fae392859f0c80e8c821fb0fb09351dd9c7602dad73228801f870c33a98a54b
mesh_dev,stg_products,view,10,7,mesh_dev__stg_products.parquet,3242,fe4f9c626142ccd689701a23939fe2bfc26771759908397b0e3babbf52ed5fac
mesh_dev,stg_supplies,view,65,6,mesh_dev__stg_supplies.parquet,5169,3c5173996e6f725d8e275849ee744cfda3dc75fa253b22cdaa5ec0ba1f406d23
prod,customer_orders_legacy,table,104,13,prod__customer_orders_legacy.parquet,8474,47a10a33a5112ab6c7b3986b0b0108820625ff57f373c5d813abe1d8f7f2ad76
prod,date_spine,view,365,1,prod__date_spine.parquet,2355,71f35cb92a83ae3f268e8fce21466ccc824cf500de7e91e417ea8e06d6082889
prod,dim_customers,table,100,7,prod__dim_customers.parquet,4867,3d511e713d0c26059c05ba71e34b3f2af3b33af415f99a7405dc7c8fd1de3e58
prod,employees,table,4,3,prod__employees.parquet,1374,5ca3979a336e4129bd017068b1224195743b8ded31d646b9b862cebcb8fccfe6
prod,fct_customer_orders,table,104,13,prod__fct_customer_orders.parquet,8349,245396fb25a881e8e7fa1276a2efb23e9398087d9f34551f6eea29eeb2230ba5
prod,fct_orders,table,104,11,prod__fct_orders.parquet,7138,93cebf0076346a409165a684611994fbc937e1e532524e5c36660acfb41a2cba
prod,int_orders__pivoted,view,100,5,prod__int_orders__pivoted.parquet,3342,372a08ce6319a012d5d319dfa2d38c026ce0435948636b624a11b055ce7fbcd1
prod,int_order_payments,table,100,4,prod__int_order_payments.parquet,2905,d51d207dc963b63f431df9f8157327b15d6444856c40c94a876fe8a6e90ba975
prod,is_holiday_2024,table,365,2,prod__is_holiday_2024.parquet,2604,f7119819b94bb4704733640787e6911d3b30799d2466acbe98ef11ce9c4f0c50
prod,stg_jaffle_shop_customers,view,100,3,prod__stg_jaffle_shop_customers.parquet,2621,8363b38b2679811ee145d11e9b009ff86afb8e3d4c78bf34a6ae125c11092fac
prod,stg_jaffle_shop_orders,view,104,5,prod__stg_jaffle_shop_orders.parquet,3360,8c275927f8a799c5d6bef34280f2b3845d258df210884566f1f4ed101c0463a9
prod,stg_stripe_payment,view,122,7,prod__stg_stripe_payment.parquet,4709,d8068989d074b1f698d73439360b6e5c14858b67c5c14607d2ec01dd1cd04fb5
