ID,USER_ID,ORDER_DATE,STATUS,_ETL_LOADED_AT
52,54,2018-02-25,return_pending,2026-08-02T01:25:11.485
53,34,2018-02-26,completed,2026-08-02T01:25:11.485
54,54,2018-02-26,completed,2026-08-02T01:25:11.485
55,18,2018-02-27,completed,2026-08-02T01:25:11.485
56,79,2018-02-28,completed,2026-08-02T01:25:11.485
57,93,2018-03-01,completed,2026-08-02T01:25:11.485
58,22,2018-03-01,completed,2026-08-02T01:25:11.485
59,30,2018-03-02,completed,2026-08-02T01:25:11.485
60,12,2018-03-03,completed,2026-08-02T01:25:11.485
61,63,2018-03-03,completed,2026-08-02T01:25:11.485
62,57,2018-03-05,completed,2026-08-02T01:25:11.485
63,70,2018-03-06,completed,2026-08-02T01:25:11.485
64,13,2018-03-07,completed,2026-08-02T01:25:11.485
65,26,2018-03-08,completed,2026-08-02T01:25:11.485
66,36,2018-03-10,completed,2026-08-02T01:25:11.485
67,79,2018-03-11,completed,2026-08-02T01:25:11.485
68,53,2018-03-11,completed,2026-08-02T01:25:11.485
69,3,2018-03-11,completed,2026-08-02T01:25:11.485
70,8,2018-03-12,completed,2026-08-02T01:25:11.485
71,42,2018-03-12,shipped,2026-08-02T01:25:11.485
72,30,2018-03-14,shipped,2026-08-02T01:25:11.485
73,19,2018-03-16,completed,2026-08-02T01:25:11.485
74,9,2018-03-17,shipped,2026-08-02T01:25:11.485
75,69,2018-03-18,completed,2026-08-02T01:25:11.485
76,25,2018-03-20,completed,2026-08-02T01:25:11.485
77,35,2018-03-21,shipped,2026-08-02T01:25:11.485
78,90,2018-03-23,shipped,2026-08-02T01:25:11.485
79,52,2018-03-23,shipped,2026-08-02T01:25:11.485
80,11,2018-03-23,shipped,2026-08-02T01:25:11.485
81,76,2018-03-23,shipped,2026-08-02T01:25:11.485
82,46,2018-03-24,shipped,2026-08-02T01:25:11.485
83,54,2018-03-24,shipped,2026-08-02T01:25:11.485
84,70,2018-03-26,placed,2026-08-02T01:25:11.485
85,47,2018-03-26,shipped,2026-08-02T01:25:11.485
86,68,2018-03-26,placed,2026-08-02T01:25:11.485
87,46,2018-03-27,placed,2026-08-02T01:25:11.485
88,91,2018-03-27,shipped,2026-08-02T01:25:11.485
89,21,2018-03-28,placed,2026-08-02T01:25:11.485
90,66,2018-03-30,shipped,2026-08-02T01:25:11.485
91,47,2018-03-31,placed,2026-08-02T01:25:11.485
92,84,2018-04-02,placed,2026-08-02T01:25:11.485
93,66,2018-04-03,placed,2026-08-02T01:25:11.485
94,63,2018-04-03,placed,2026-08-02T01:25:11.485
95,27,2018-04-04,placed,2026-08-02T01:25:11.485
96,90,2018-04-06,placed,2026-08-02T01:25:11.485
97,89,2018-04-07,placed,2026-08-02T01:25:11.485
98,41,2018-04-07,placed,2026-08-02T01:25:11.485
99,85,2018-04-09,placed,2026-08-02T01:25:11.485
100,100,2025-02-15,shipped,2026-08-20T07:37:03.562
101,84,2025-02-15,shipped,2026-08-20T07:37:03.562
102,42,2025-02-15,shipped,2026-08-20T07:37:03.562
103,27,2025-02-15,shipped,2026-08-20T07:37:03.562
104,66,2025-02-15,placed,2026-08-20T07:22:04.924
