order_id,customer_id,order_placed_at,order_status,_etl_loaded_at
44,66,2018-02-17,completed,2026-08-02T01:25:11.485000
45,22,2018-02-17,completed,2026-08-02T01:25:11.485000
46,6,2018-02-19,completed,2026-08-02T01:25:11.485000
47,50,2018-02-20,completed,2026-08-02T01:25:11.485000
48,27,2018-02-21,completed,2026-08-02T01:25:11.485000
49,35,2018-02-21,completed,2026-08-02T01:25:11.485000
5,64,2018-01-05,completed,2026-08-02T01:25:11.485000
50,51,2018-02-23,completed,2026-08-02T01:25:11.485000
51,71,2018-02-24,completed,2026-08-02T01:25:11.485000
52,54,2018-02-25,return_pending,2026-08-02T01:25:11.485000
53,34,2018-02-26,completed,2026-08-02T01:25:11.485000
54,54,2018-02-26,completed,2026-08-02T01:25:11.485000
55,18,2018-02-27,completed,2026-08-02T01:25:11.485000
56,79,2018-02-28,completed,2026-08-02T01:25:11.485000
57,93,2018-03-01,completed,2026-08-02T01:25:11.485000
58,22,2018-03-01,completed,2026-08-02T01:25:11.485000
59,30,2018-03-02,completed,2026-08-02T01:25:11.485000
6,54,2018-01-07,completed,2026-08-02T01:25:11.485000
60,12,2018-03-03,completed,2026-08-02T01:25:11.485000
61,63,2018-03-03,completed,2026-08-02T01:25:11.485000
62,57,2018-03-05,completed,2026-08-02T01:25:11.485000
63,70,2018-03-06,completed,2026-08-02T01:25:11.485000
64,13,2018-03-07,completed,2026-08-02T01:25:11.485000
65,26,2018-03-08,completed,2026-08-02T01:25:11.485000
66,36,2018-03-10,completed,2026-08-02T01:25:11.485000
67,79,2018-03-11,completed,2026-08-02T01:25:11.485000
68,53,2018-03-11,completed,2026-08-02T01:25:11.485000
69,3,2018-03-11,completed,2026-08-02T01:25:11.485000
7,88,2018-01-09,completed,2026-08-02T01:25:11.485000
70,8,2018-03-12,completed,2026-08-02T01:25:11.485000
71,42,2018-03-12,shipped,2026-08-02T01:25:11.485000
72,30,2018-03-14,shipped,2026-08-02T01:25:11.485000
73,19,2018-03-16,completed,2026-08-02T01:25:11.485000
74,9,2018-03-17,shipped,2026-08-02T01:25:11.485000
75,69,2018-03-18,completed,2026-08-02T01:25:11.485000
76,25,2018-03-20,completed,2026-08-02T01:25:11.485000
77,35,2018-03-21,shipped,2026-08-02T01:25:11.485000
78,90,2018-03-23,shipped,2026-08-02T01:25:11.485000
79,52,2018-03-23,shipped,2026-08-02T01:25:11.485000
8,2,2018-01-11,returned,2026-08-02T01:25:11.485000
80,11,2018-03-23,shipped,2026-08-02T01:25:11.485000
81,76,2018-03-23,shipped,2026-08-02T01:25:11.485000
82,46,2018-03-24,shipped,2026-08-02T01:25:11.485000
83,54,2018-03-24,shipped,2026-08-02T01:25:11.485000
84,70,2018-03-26,placed,2026-08-02T01:25:11.485000
85,47,2018-03-26,shipped,2026-08-02T01:25:11.485000
86,68,2018-03-26,placed,2026-08-02T01:25:11.485000
87,46,2018-03-27,placed,2026-08-02T01:25:11.485000
88,91,2018-03-27,shipped,2026-08-02T01:25:11.485000
89,21,2018-03-28,placed,2026-08-02T01:25:11.485000
9,53,2018-01-12,completed,2026-08-02T01:25:11.485000
90,66,2018-03-30,shipped,2026-08-02T01:25:11.485000
91,47,2018-03-31,placed,2026-08-02T01:25:11.485000
92,84,2018-04-02,placed,2026-08-02T01:25:11.485000
93,66,2018-04-03,placed,2026-08-02T01:25:11.485000
94,63,2018-04-03,placed,2026-08-02T01:25:11.485000
95,27,2018-04-04,placed,2026-08-02T01:25:11.485000
96,90,2018-04-06,placed,2026-08-02T01:25:11.485000
97,89,2018-04-07,placed,2026-08-02T01:25:11.485000
98,41,2018-04-07,placed,2026-08-02T01:25:11.485000
99,85,2018-04-09,placed,2026-08-02T01:25:11.485000
