order_id,customer_id,order_placed_at,order_status,total_order_amount,payment_finalized_date,transaction_seq,customer_sales_seq,nvsr,fdos,running_clv
39,26,2018-02-11,completed,8.00,2018-02-11,39,1,new,2018-02-11,8.00
4,50,2018-01-05,completed,25.00,2018-01-05,4,1,new,2018-01-05,25.00
40,33,2018-02-13,completed,14.00,2018-02-13,40,1,new,2018-02-13,14.00
41,99,2018-02-14,completed,17.00,2018-02-14,41,2,return,2018-01-14,44.00
42,92,2018-02-16,completed,17.00,2018-02-16,42,1,new,2018-02-16,17.00
43,31,2018-02-17,completed,18.00,2018-02-17,43,1,new,2018-02-17,18.00
44,66,2018-02-17,completed,11.00,2018-02-17,44,1,new,2018-02-17,11.00
45,22,2018-02-17,completed,5.00,2018-02-17,45,2,return,2018-01-26,28.00
46,6,2018-02-19,completed,8.00,2018-02-19,46,1,new,2018-02-19,8.00
47,50,2018-02-20,completed,22.00,2018-02-20,47,2,return,2018-01-05,47.00
48,27,2018-02-21,completed,3.00,2018-02-21,48,1,new,2018-02-21,3.00
49,35,2018-02-21,completed,15.00,2018-02-21,49,1,new,2018-02-21,15.00
5,64,2018-01-05,completed,17.00,2018-01-05,5,1,new,2018-01-05,17.00
50,51,2018-02-23,completed,26.00,2018-02-23,50,3,return,2018-01-28,83.00
51,71,2018-02-24,completed,30.00,2018-02-24,51,3,return,2018-01-18,44.00
52,54,2018-02-25,return_pending,15.00,2018-02-25,52,3,return,2018-01-07,27.00
53,34,2018-02-26,completed,3.00,2018-02-26,53,1,new,2018-02-26,3.00
54,54,2018-02-26,completed,29.00,2018-02-26,54,4,return,2018-01-07,56.00
55,18,2018-02-27,completed,29.00,2018-02-27,55,1,new,2018-02-27,29.00
56,79,2018-02-28,completed,4.00,2018-02-28,56,1,new,2018-02-28,4.00
57,93,2018-03-01,completed,2.00,2018-03-01,57,1,new,2018-03-01,2.00
58,22,2018-03-01,completed,24.00,2018-03-01,58,3,return,2018-01-26,52.00
59,30,2018-03-02,completed,28.00,2018-03-02,59,1,new,2018-03-02,28.00
6,54,2018-01-07,completed,6.00,2018-01-07,6,1,new,2018-01-07,6.00
60,12,2018-03-03,completed,4.00,2018-03-03,60,1,new,2018-03-03,4.00
61,63,2018-03-03,completed,16.00,2018-03-03,61,1,new,2018-03-03,16.00
62,57,2018-03-05,completed,14.00,2018-03-05,62,2,return,2018-01-31,26.00
63,70,2018-03-06,completed,29.00,2018-03-06,63,1,new,2018-03-06,29.00
64,13,2018-03-07,completed,26.00,2018-03-07,64,1,new,2018-03-07,26.00
65,26,2018-03-08,completed,0.00,2018-03-08,65,2,return,2018-02-11,8.00
66,36,2018-03-10,completed,28.00,2018-03-10,66,1,new,2018-03-10,28.00
67,79,2018-03-11,completed,23.00,2018-03-11,67,2,return,2018-02-28,27.00
68,53,2018-03-11,completed,16.00,2018-03-11,68,2,return,2018-01-12,39.00
69,3,2018-03-11,completed,19.00,2018-03-11,69,3,return,2018-01-02,65.00
7,88,2018-01-09,completed,16.00,2018-01-09,7,1,new,2018-01-09,16.00
70,8,2018-03-12,completed,26.00,2018-03-12,70,2,return,2018-01-29,45.00
71,42,2018-03-12,shipped,5.00,2018-03-12,71,2,return,2018-02-04,27.00
72,30,2018-03-14,shipped,29.00,2018-03-14,72,2,return,2018-03-02,57.00
73,19,2018-03-16,completed,3.00,2018-03-16,73,1,new,2018-03-16,3.00
74,9,2018-03-17,shipped,30.00,2018-03-17,74,1,new,2018-03-17,30.00
75,69,2018-03-18,completed,19.00,2018-03-18,75,2,return,2018-02-02,32.00
76,25,2018-03-20,completed,2.00,2018-03-20,76,2,return,2018-01-17,24.00
77,35,2018-03-21,shipped,19.00,2018-03-21,77,2,return,2018-02-21,34.00
78,90,2018-03-23,shipped,26.00,2018-03-23,78,1,new,2018-03-23,26.00
79,52,2018-03-23,shipped,27.00,2018-03-23,79,1,new,2018-03-23,27.00
8,2,2018-01-11,returned,23.00,2018-01-11,8,1,new,2018-01-11,23.00
80,11,2018-03-23,shipped,3.00,2018-03-23,80,1,new,2018-03-23,3.00
81,76,2018-03-23,shipped,2.00,2018-03-23,81,1,new,2018-03-23,2.00
82,46,2018-03-24,shipped,8.00,2018-03-24,82,1,new,2018-03-24,8.00
83,54,2018-03-24,shipped,1.00,2018-03-24,83,5,return,2018-01-07,57.00
84,70,2018-03-26,placed,25.00,2018-03-26,84,2,return,2018-03-06,54.00
85,47,2018-03-26,shipped,17.00,2018-03-26,85,1,new,2018-03-26,17.00
86,68,2018-03-26,placed,23.00,2018-03-26,86,1,new,2018-03-26,23.00
87,46,2018-03-27,placed,56.00,2018-03-27,87,2,return,2018-03-24,64.00
88,91,2018-03-27,shipped,29.00,2018-03-27,88,1,new,2018-03-27,29.00
89,21,2018-03-28,placed,22.00,2018-03-28,89,1,new,2018-03-28,22.00
9,53,2018-01-12,completed,23.00,2018-01-12,9,1,new,2018-01-12,23.00
90,66,2018-03-30,shipped,2.00,2018-03-30,90,2,return,2018-02-17,13.00
91,47,2018-03-31,placed,19.00,2018-03-31,91,2,return,2018-03-26,36.00
92,84,2018-04-02,placed,17.00,2018-04-02,92,2,return,2018-01-17,36.00
93,66,2018-04-03,placed,26.00,2018-04-03,93,3,return,2018-02-17,39.00
94,63,2018-04-03,placed,7.00,2018-04-03,94,2,return,2018-03-03,23.00
95,27,2018-04-04,placed,24.00,2018-04-04,95,2,return,2018-02-21,27.00
96,90,2018-04-06,placed,17.00,2018-04-06,96,2,return,2018-03-23,43.00
97,89,2018-04-07,placed,14.00,2018-04-07,97,1,new,2018-04-07,14.00
98,41,2018-04-07,placed,10.00,2018-04-07,98,1,new,2018-04-07,10.00
99,85,2018-04-09,placed,24.00,2018-04-09,99,2,return,2018-02-10,33.00
