order_id,payment_finalized_date,total_order_amount,_batched_at
4,2018-01-05,25.00,2026-08-02T01:25:18.071000
40,2018-02-13,14.00,2026-08-02T01:25:18.071000
41,2018-02-14,17.00,2026-08-02T01:25:18.071000
42,2018-02-16,17.00,2026-08-02T01:25:18.071000
43,2018-02-17,18.00,2026-08-02T01:25:18.071000
44,2018-02-17,11.00,2026-08-02T01:25:18.071000
45,2018-02-17,5.00,2026-08-02T01:25:18.071000
46,2018-02-19,8.00,2026-08-02T01:25:18.071000
47,2018-02-20,22.00,2026-08-02T01:25:18.071000
48,2018-02-21,3.00,2026-08-02T01:25:18.071000
49,2018-02-21,15.00,2026-08-02T01:25:18.071000
5,2018-01-05,17.00,2026-08-02T01:25:18.071000
50,2018-02-23,26.00,2026-08-02T01:25:18.071000
51,2018-02-24,30.00,2026-08-02T01:25:18.071000
52,2018-02-25,15.00,2026-08-02T01:25:18.071000
53,2018-02-26,3.00,2026-08-02T01:25:18.071000
54,2018-02-26,29.00,2026-08-02T01:25:18.071000
55,2018-02-27,29.00,2026-08-02T01:25:18.071000
56,2018-02-28,4.00,2026-08-02T01:25:18.071000
57,2018-03-01,2.00,2026-08-02T01:25:18.071000
58,2018-03-01,24.00,2026-08-02T01:25:18.071000
59,2018-03-02,28.00,2026-08-02T01:25:18.071000
6,2018-01-07,6.00,2026-08-02T01:25:18.071000
60,2018-03-03,4.00,2026-08-02T01:25:18.071000
61,2018-03-03,16.00,2026-08-02T01:25:18.071000
62,2018-03-05,14.00,2026-08-02T01:25:18.071000
63,2018-03-06,29.00,2026-08-02T01:25:18.071000
64,2018-03-07,26.00,2026-08-02T01:25:18.071000
65,2018-03-08,0.00,2026-08-02T01:25:18.071000
66,2018-03-10,28.00,2026-08-02T01:25:18.071000
67,2018-03-11,23.00,2026-08-02T01:25:18.071000
68,2018-03-11,16.00,2026-08-02T01:25:18.071000
69,2018-03-11,19.00,2026-08-02T01:25:18.071000
7,2018-01-09,16.00,2026-08-02T01:25:18.071000
70,2018-03-12,26.00,2026-08-02T01:25:18.071000
71,2018-03-12,5.00,2026-08-02T01:25:18.071000
72,2018-03-14,29.00,2026-08-02T01:25:18.071000
73,2018-03-16,3.00,2026-08-02T01:25:18.071000
74,2018-03-17,30.00,2026-08-02T01:25:18.071000
75,2018-03-18,19.00,2026-08-02T01:25:18.071000
76,2018-03-20,2.00,2026-08-02T01:25:18.071000
77,2018-03-21,19.00,2026-08-02T01:25:18.071000
78,2018-03-23,26.00,2026-08-02T01:25:18.071000
79,2018-03-23,27.00,2026-08-02T01:25:18.071000
8,2018-01-11,23.00,2026-08-02T01:25:18.071000
80,2018-03-23,3.00,2026-08-02T01:25:18.071000
81,2018-03-23,2.00,2026-08-02T01:25:18.071000
82,2018-03-24,8.00,2026-08-02T01:25:18.071000
83,2018-03-24,1.00,2026-08-02T01:25:18.071000
84,2018-03-26,25.00,2026-08-02T01:25:18.071000
85,2018-03-26,17.00,2026-08-02T01:25:18.071000
86,2018-03-26,23.00,2026-08-02T01:25:18.071000
87,2018-03-27,56.00,2026-08-02T01:25:18.071000
88,2018-03-27,29.00,2026-08-02T01:25:18.071000
89,2018-03-28,22.00,2026-08-02T01:25:18.071000
9,2018-01-12,23.00,2026-08-02T01:25:18.071000
90,2018-03-30,2.00,2026-08-02T01:25:18.071000
91,2018-03-31,19.00,2026-08-02T01:25:18.071000
92,2018-04-02,17.00,2026-08-02T01:25:18.071000
93,2018-04-03,26.00,2026-08-02T01:25:18.071000
94,2018-04-03,7.00,2026-08-02T01:25:18.071000
95,2018-04-04,24.00,2026-08-02T01:25:18.071000
96,2018-04-06,17.00,2026-08-02T01:25:18.071000
97,2018-04-07,14.00,2026-08-02T01:25:18.071000
98,2018-04-07,10.00,2026-08-02T01:25:18.071000
99,2018-04-09,24.00,2026-08-02T01:25:18.071000
