database,schema,table,column,data_type,full_type,n_rows,n_nonnull,n_distinct,agg
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,TOTAL_AMOUNT_PAID,NUMBER,"NUMBER(38,2)",104,100,32,1696.00
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,PAYMENT_FINALIZED_DATE,DATE,DATE,104,100,70,2018-01-02..2026-08-22
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,CUSTOMER_FIRST_NAME,TEXT,TEXT(16777216),104,104,56,Aaron..Willie
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,CUSTOMER_LAST_NAME,TEXT,TEXT(16777216),104,104,18,A...W.
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,TRANSACTION_SEQ,NUMBER,"NUMBER(18,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,CUSTOMER_SALES_SEQ,NUMBER,"NUMBER(18,0)",104,104,5,161
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,NVSR,TEXT,TEXT(6),104,104,2,new..return
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,RUNNING_CLV,NUMBER,"NUMBER(38,2)",104,104,46,2570.00
ANALYTICS,DBT_LEARNING,FCT_CUSTOMER_ORDERS,FDOS,DATE,DATE,104,104,47,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,FCT_ORDERS,ORDER_ID,NUMBER,"NUMBER(38,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,FCT_ORDERS,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",104,104,63,5096
ANALYTICS,DBT_LEARNING,FCT_ORDERS,ORDER_PLACED_AT,DATE,DATE,104,104,70,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,FCT_ORDERS,ORDER_STATUS,TEXT,TEXT(16777216),104,104,5,completed..shipped
ANALYTICS,DBT_LEARNING,FCT_ORDERS,TOTAL_ORDER_AMOUNT,NUMBER,"NUMBER(38,2)",104,100,32,1696.00
ANALYTICS,DBT_LEARNING,FCT_ORDERS,PAYMENT_FINALIZED_DATE,DATE,DATE,104,100,70,2018-01-02..2026-08-22
ANALYTICS,DBT_LEARNING,FCT_ORDERS,TRANSACTION_SEQ,NUMBER,"NUMBER(18,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,FCT_ORDERS,CUSTOMER_SALES_SEQ,NUMBER,"NUMBER(18,0)",104,104,5,161
ANALYTICS,DBT_LEARNING,FCT_ORDERS,NVSR,TEXT,TEXT(6),104,104,2,new..return
ANALYTICS,DBT_LEARNING,FCT_ORDERS,FDOS,DATE,DATE,104,104,47,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,FCT_ORDERS,RUNNING_CLV,NUMBER,"NUMBER(38,2)",104,104,46,2570.00
ANALYTICS,DBT_LEARNING,INT_ORDERS__PIVOTED,ORDER_ID,NUMBER,"NUMBER(38,0)",100,100,100,5050
ANALYTICS,DBT_LEARNING,INT_ORDERS__PIVOTED,CREDIT_CARD_AMOUNT,NUMBER,"NUMBER(38,2)",100,52,26,914.00
ANALYTICS,DBT_LEARNING,INT_ORDERS__PIVOTED,COUPON_AMOUNT,NUMBER,"NUMBER(38,2)",100,13,11,184.00
ANALYTICS,DBT_LEARNING,INT_ORDERS__PIVOTED,BANK_TRANSFER_AMOUNT,NUMBER,"NUMBER(38,2)",100,33,19,416.00
ANALYTICS,DBT_LEARNING,INT_ORDERS__PIVOTED,GIFT_CARD_AMOUNT,NUMBER,"NUMBER(38,2)",100,11,10,182.00
ANALYTICS,DBT_LEARNING,INT_ORDER_PAYMENTS,ORDER_ID,NUMBER,"NUMBER(38,0)",100,100,100,5050
ANALYTICS,DBT_LEARNING,INT_ORDER_PAYMENTS,PAYMENT_FINALIZED_DATE,DATE,DATE,100,100,70,2018-01-02..2026-08-22
ANALYTICS,DBT_LEARNING,INT_ORDER_PAYMENTS,TOTAL_ORDER_AMOUNT,NUMBER,"NUMBER(38,2)",100,100,32,1696.00
ANALYTICS,DBT_LEARNING,INT_ORDER_PAYMENTS,_BATCHED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,100,100,4,2026-08-02 01:25:18.071..2026-08-22 03:32:57.297
ANALYTICS,DBT_LEARNING,IS_HOLIDAY_2024,DATE_DAY,DATE,DATE,365,365,365,2024-01-01..2024-12-30
ANALYTICS,DBT_LEARNING,IS_HOLIDAY_2024,IS_HOLIDAY,BOOLEAN,BOOLEAN,365,365,2,false..true
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_CUSTOMERS,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",100,100,100,5050
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_CUSTOMERS,CUSTOMER_FIRST_NAME,TEXT,TEXT(16777216),100,100,79,Aaron..Willie
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_CUSTOMERS,CUSTOMER_LAST_NAME,TEXT,TEXT(16777216),100,100,19,A...W.
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_ORDERS,ORDER_ID,NUMBER,"NUMBER(38,0)",104,104,104,5460
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_ORDERS,CUSTOMER_ID,NUMBER,"NUMBER(38,0)",104,104,63,5096
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_ORDERS,ORDER_PLACED_AT,DATE,DATE,104,104,70,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_ORDERS,ORDER_STATUS,TEXT,TEXT(16777216),104,104,5,completed..shipped
ANALYTICS,DBT_LEARNING,STG_JAFFLE_SHOP_ORDERS,_ETL_LOADED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,104,104,3,2026-08-02 01:25:11.485..2026-08-20 07:37:03.562
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,ORDER_ID,NUMBER,"NUMBER(38,0)",122,122,100,6035
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,PAYMENT_ID,NUMBER,"NUMBER(38,0)",122,122,122,9263
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,PAYMENT_METHOD,TEXT,TEXT(16777216),122,122,4,bank_transfer..gift_card
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,PAYMENT_STATUS,TEXT,TEXT(16777216),122,122,2,fail..success
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,PAYMENT_AMOUNT,NUMBER,"NUMBER(38,2)",122,122,30,1803.00
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,PAYMENT_CREATED_AT,DATE,DATE,122,122,71,2018-01-01..2026-08-22
ANALYTICS,DBT_LEARNING,STG_STRIPE_PAYMENT,_BATCHED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,122,122,4,2026-08-02 01:25:18.071..2026-08-22 03:32:57.297
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,ID,NUMBER,"NUMBER(38,0)",108,108,104,5866
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,USER_ID,NUMBER,"NUMBER(38,0)",108,108,63,5349
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,ORDER_DATE,DATE,DATE,108,108,70,2018-01-01..2025-02-15
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,STATUS,TEXT,TEXT(16777216),108,108,5,completed..shipped
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,_ETL_LOADED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,108,108,3,2026-08-02 01:25:11.485..2026-08-20 07:37:03.562
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,DBT_SCD_ID,TEXT,TEXT(32),108,108,108,001008d3c000239645b2cc4f38593e2f..fff9456cc9486bd6db07865018c8c1fb
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,DBT_UPDATED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,108,108,3,2026-08-20 13:38:26.723..2026-08-20 14:37:16.994
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,DBT_VALID_FROM,TIMESTAMP_NTZ,TIMESTAMP_NTZ,108,108,3,2026-08-20 13:38:26.723..2026-08-20 14:37:16.994
ANALYTICS,DBT_LEARNING_SNAPSHOTS,ORDERS_SNAPSHOT,DBT_VALID_TO,TIMESTAMP_NTZ,TIMESTAMP_NTZ,108,108,2,2026-08-20 14:37:16.994..9999-12-31 00:00:00.000
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,PRODUCT_ID,TEXT,TEXT(16777216),10,10,10,BEV-001..JAF-005
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,PRODUCT_NAME,TEXT,TEXT(16777216),10,10,10,adele-ade..vanilla ice
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,PRODUCT_TYPE,TEXT,TEXT(16777216),10,10,2,beverage..jaffle
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,PRODUCT_DESCRIPTION,TEXT,TEXT(16777216),10,10,10,"a kiwi and lime agua fresca, hello from the other side of thirst..pulled pork and pineapple al pastor marinated in ghost pepper sauce,             kevin parker's favorite! "
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,PRODUCT_PRICE,NUMBER,"NUMBER(38,6)",10,10,7,88.000000
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,IS_FOOD_ITEM,BOOLEAN,BOOLEAN,10,10,2,false..true
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,IS_DRINK_ITEM,BOOLEAN,BOOLEAN,10,10,2,false..true
ANALYTICS,MESH_DEV,DIM_PRODUCT_SUPPLIES,SUPPLY_COST,NUMBER,"NUMBER(38,6)",10,10,9,18.760000
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDER_ID,TEXT,TEXT(16777216),899,899,899,008cc165-663f-40fb-94d9-2029e8542983..fff5688c-7203-48e3-babf-777c6c169aa3
ANALYTICS,MESH_DEV,FCT_ORDERS,LOCATION_ID,TEXT,TEXT(16777216),899,899,1,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4..7f790ed7-0fc4-4de2-a1b0-cce72e657fc4
ANALYTICS,MESH_DEV,FCT_ORDERS,CUSTOMER_ID,TEXT,TEXT(16777216),899,899,146,026f0a0c-400a-4482-a51f-c8bd57fb07df..fd560bc8-60b7-4dbf-93e1-6eba6934f599
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDER_TOTAL,NUMBER,"NUMBER(38,6)",899,899,60,12051.810000
ANALYTICS,MESH_DEV,FCT_ORDERS,TAX_PAID,NUMBER,"NUMBER(38,6)",899,899,60,681.530000
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDERED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,22,2016-09-01 00:00:00.000..2016-09-22 00:00:00.000
ANALYTICS,MESH_DEV,FCT_ORDERS,CUSTOMER_NAME,TEXT,TEXT(16777216),899,899,146,Alex Taylor..Vanessa Schmidt
ANALYTICS,MESH_DEV,FCT_ORDERS,LOCATION_NAME,TEXT,TEXT(16777216),899,899,1,Philadelphia..Philadelphia
ANALYTICS,MESH_DEV,FCT_ORDERS,TAX_RATE,NUMBER,"NUMBER(38,4)",899,899,1,53.9400
ANALYTICS,MESH_DEV,FCT_ORDERS,LOCATION_OPENED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,1,2016-09-01 00:00:00.000..2016-09-01 00:00:00.000
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDERED_MONTH,NUMBER,"NUMBER(2,0)",899,899,1,8091
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDERED_DAY,NUMBER,"NUMBER(2,0)",899,899,22,10879
ANALYTICS,MESH_DEV,FCT_ORDERS,ORDERED_YEAR,NUMBER,"NUMBER(4,0)",899,899,1,1812384
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,ORDER_ITEM_ID,TEXT,TEXT(16777216),899,899,899,000fc90f-4579-4aae-985d-4fa41b382fcd..ff979d54-6fd6-4988-a115-07bf04047d36
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,ORDER_ID,TEXT,TEXT(16777216),899,899,507,008cc165-663f-40fb-94d9-2029e8542983..ff826aa0-6067-427d-ae60-46ca200acac1
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,PRODUCT_ID,TEXT,TEXT(16777216),899,899,10,BEV-001..JAF-005
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,LOCATION_ID,TEXT,TEXT(16777216),899,899,1,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4..7f790ed7-0fc4-4de2-a1b0-cce72e657fc4
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,CUSTOMER_ID,TEXT,TEXT(16777216),899,899,120,026f0a0c-400a-4482-a51f-c8bd57fb07df..fd560bc8-60b7-4dbf-93e1-6eba6934f599
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,ORDER_TOTAL,NUMBER,"NUMBER(38,6)",899,899,55,22797.920000
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,TAX_PAID,NUMBER,"NUMBER(38,6)",899,899,55,1289.480000
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,ORDERED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,14,2016-09-01 00:00:00.000..2016-09-14 00:00:00.000
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,CUSTOMER_NAME,TEXT,TEXT(16777216),899,899,120,Alex Taylor..Vanessa Schmidt
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,LOCATION_NAME,TEXT,TEXT(16777216),899,899,1,Philadelphia..Philadelphia
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,TAX_RATE,NUMBER,"NUMBER(38,4)",899,899,1,53.9400
ANALYTICS,MESH_DEV,FCT_ORDER_ITEMS,LOCATION_OPENED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,1,2016-09-01 00:00:00.000..2016-09-01 00:00:00.000
ANALYTICS,MESH_DEV,INT_ORDERS,ORDER_ID,TEXT,TEXT(16777216),899,899,899,008cc165-663f-40fb-94d9-2029e8542983..fff5688c-7203-48e3-babf-777c6c169aa3
ANALYTICS,MESH_DEV,INT_ORDERS,LOCATION_ID,TEXT,TEXT(16777216),899,899,1,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4..7f790ed7-0fc4-4de2-a1b0-cce72e657fc4
ANALYTICS,MESH_DEV,INT_ORDERS,CUSTOMER_ID,TEXT,TEXT(16777216),899,899,146,026f0a0c-400a-4482-a51f-c8bd57fb07df..fd560bc8-60b7-4dbf-93e1-6eba6934f599
ANALYTICS,MESH_DEV,INT_ORDERS,ORDER_TOTAL,NUMBER,"NUMBER(38,6)",899,899,60,12051.810000
ANALYTICS,MESH_DEV,INT_ORDERS,TAX_PAID,NUMBER,"NUMBER(38,6)",899,899,60,681.530000
ANALYTICS,MESH_DEV,INT_ORDERS,ORDERED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,22,2016-09-01 00:00:00.000..2016-09-22 00:00:00.000
ANALYTICS,MESH_DEV,INT_ORDERS,CUSTOMER_NAME,TEXT,TEXT(16777216),899,899,146,Alex Taylor..Vanessa Schmidt
ANALYTICS,MESH_DEV,INT_ORDERS,LOCATION_NAME,TEXT,TEXT(16777216),899,899,1,Philadelphia..Philadelphia
ANALYTICS,MESH_DEV,INT_ORDERS,TAX_RATE,NUMBER,"NUMBER(38,4)",899,899,1,53.9400
ANALYTICS,MESH_DEV,INT_ORDERS,LOCATION_OPENED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,1,2016-09-01 00:00:00.000..2016-09-01 00:00:00.000
ANALYTICS,MESH_DEV,STG_CUSTOMERS,CUSTOMER_ID,TEXT,TEXT(16777216),939,939,939,00478f33-7c2c-410f-bd43-d79f821cd194..fee841f2-7082-4658-8935-d8600b309146
ANALYTICS,MESH_DEV,STG_CUSTOMERS,CUSTOMER_NAME,TEXT,TEXT(16777216),939,939,926,Aaron Gardner..Wyatt Hickman
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__CUSTOMERS,CUSTOMER_ID,TEXT,TEXT(16777216),939,939,939,00478f33-7c2c-410f-bd43-d79f821cd194..fee841f2-7082-4658-8935-d8600b309146
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__CUSTOMERS,CUSTOMER_NAME,TEXT,TEXT(16777216),939,939,926,Aaron Gardner..Wyatt Hickman
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__LOCATIONS,LOCATION_ID,TEXT,TEXT(16777216),5,5,5,08d44615-06d3-4086-a5d7-21395a1d975e..f6f2bd97-becb-4e1c-a611-20c7cf579841
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__LOCATIONS,LOCATION_NAME,TEXT,TEXT(16777216),5,5,5,Brooklyn..San Francisco
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__LOCATIONS,TAX_RATE,NUMBER,"NUMBER(38,4)",5,5,4,0.2775
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__LOCATIONS,LOCATION_OPENED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,5,5,5,2016-09-01 00:00:00.000..2019-03-10 00:00:00.000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,ORDER_ID,TEXT,TEXT(16777216),899,899,899,008cc165-663f-40fb-94d9-2029e8542983..fff5688c-7203-48e3-babf-777c6c169aa3
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,LOCATION_ID,TEXT,TEXT(16777216),899,899,1,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4..7f790ed7-0fc4-4de2-a1b0-cce72e657fc4
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,CUSTOMER_ID,TEXT,TEXT(16777216),899,899,146,026f0a0c-400a-4482-a51f-c8bd57fb07df..fd560bc8-60b7-4dbf-93e1-6eba6934f599
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,ORDER_TOTAL,NUMBER,"NUMBER(38,6)",899,899,60,12051.810000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,TAX_PAID,NUMBER,"NUMBER(38,6)",899,899,60,681.530000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDERS,ORDERED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,899,899,22,2016-09-01 00:00:00.000..2016-09-22 00:00:00.000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDER_ITEMS,ORDER_ITEM_ID,TEXT,TEXT(16777216),899,899,899,000fc90f-4579-4aae-985d-4fa41b382fcd..ff979d54-6fd6-4988-a115-07bf04047d36
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDER_ITEMS,ORDER_ID,TEXT,TEXT(16777216),899,899,507,008cc165-663f-40fb-94d9-2029e8542983..ff826aa0-6067-427d-ae60-46ca200acac1
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__ORDER_ITEMS,PRODUCT_ID,TEXT,TEXT(16777216),899,899,10,BEV-001..JAF-005
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,PRODUCT_ID,TEXT,TEXT(16777216),10,10,10,BEV-001..JAF-005
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,PRODUCT_NAME,TEXT,TEXT(16777216),10,10,10,adele-ade..vanilla ice
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,PRODUCT_TYPE,TEXT,TEXT(16777216),10,10,2,beverage..jaffle
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,PRODUCT_DESCRIPTION,TEXT,TEXT(16777216),10,10,10,"a kiwi and lime agua fresca, hello from the other side of thirst..pulled pork and pineapple al pastor marinated in ghost pepper sauce,             kevin parker's favorite! "
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,PRODUCT_PRICE,NUMBER,"NUMBER(38,6)",10,10,7,88.000000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,IS_FOOD_ITEM,BOOLEAN,BOOLEAN,10,10,2,false..true
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__PRODUCTS,IS_DRINK_ITEM,BOOLEAN,BOOLEAN,10,10,2,false..true
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,SUPPLY_UUID,TEXT,TEXT(32),65,65,65,05fe2680712d4bd8f86f48bd4c23d5bf..f999f86c69f9ef6b66dd8f035bb99ff4
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,SUPPLY_ID,TEXT,TEXT(16777216),65,65,29,SUP-001..SUP-029
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,PRODUCT_ID,TEXT,TEXT(16777216),65,65,10,BEV-001..JAF-005
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,SUPPLY_NAME,TEXT,TEXT(16777216),65,65,29,16oz compostable clear cup..whey protein
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,SUPPLY_COST,NUMBER,"NUMBER(38,6)",65,65,18,18.760000
ANALYTICS,MESH_DEV,STG_JAFFLE_SHOP__SUPPLIES,IS_PERISHABLE_SUPPLY,BOOLEAN,BOOLEAN,65,65,2,false..true
ANALYTICS,MESH_DEV,STG_LOCATIONS,LOCATION_ID,TEXT,TEXT(16777216),5,5,5,08d44615-06d3-4086-a5d7-21395a1d975e..f6f2bd97-becb-4e1c-a611-20c7cf579841
ANALYTICS,MESH_DEV,STG_LOCATIONS,LOCATION_NAME,TEXT,TEXT(16777216),5,5,5,Brooklyn..San Francisco
ANALYTICS,MESH_DEV,STG_LOCATIONS,TAX_RATE,NUMBER,"NUMBER(38,4)",5,5,4,0.2775
ANALYTICS,MESH_DEV,STG_LOCATIONS,LOCATION_OPENED_AT,TIMESTAMP_NTZ,TIMESTAMP_NTZ,5,5,5,2016-09-01 00:00:00.000..2019-03-10 00:00:00.000
ANALYTICS,MESH_DEV,STG_ORDERS,ORDER_ID,TEXT,TEXT(16777216),899,899,899,008cc165-663f-40fb-94d9-2029e8542983..fff5688c-7203-48e3-babf-777c6c169aa3
ANALYTICS,MESH_DEV,STG_ORDERS,LOCATION_ID,TEXT,TEXT(16777216),899,899,1,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4..7f790ed7-0fc4-4de2-a1b0-cce72e657fc4
ANALYTICS,MESH_DEV,STG_ORDERS,CUSTOMER_ID,TEXT,TEXT(16777216),899,899,146,026f0a0c-400a-4482-a51f-c8bd57fb07df..fd560bc8-60b7-4dbf-93e1-6eba6934f599
ANALYTICS,MESH_DEV,STG_ORDERS,ORDER_TOTAL,NUMBER,"NUMBER(38,6)",899,899,60,12051.810000
ANALYTICS,MESH_DEV,STG_ORDERS,TAX_PAID,NUMBER,"NUMBER(38,6)",899,899,60,681.530000
